probability,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,10,"{'E': 1828, 'A': 1687, 'O': 1412, 'S': 1253, 'R': 840, 'I': 741, 'M': 673, 'T': 622, 'D': 620, 'U': 612, 'N': 604, 'C': 487, 'L': 321, 'P': 312, 'Q': 219, 'V': 165, 'G': 153, 'F': 126, 'H': 101, 'B': 99, 'Z': 65, 'J': 48, 'X': 33, '9': 21, '6': 2, '0': 2, '5': 1}","{'E': 73120, 'A': 67480, 'O': 56480, 'S': 50120, 'R': 33600, 'I': 29640, 'M': 26920, 'T': 24880, 'D': 24800, 'U': 24480, 'N': 24160, 'C': 19480, 'L': 12840, 'P': 12480, 'Q': 8760, 'V': 6600, 'G': 6120, 'F': 5040, 'H': 4040, 'B': 3960, 'Z': 2600, 'J': 1920, 'X': 1320, '9': 840, '6': 80, '0': 80, '5': 40}",0.9997804409111734,0.1909702982098982,41.53333333333333,187.9333333333333,0.1909702982098982,94749.73333333334,307.8144462713427,0.1091411885582048,1248,421811587.1999998,0.999899158748788,0.9997763694842494,0.999899158748788,0.9999438467222688,0.9998430111336236,0.9997763694842494,431,572,0.2780569514237856,0.0418760469011725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5435433266069437,0.6390284757118928,0.6390284757118928,0.6390284757118928
0.03125,10,"{'E': 2301, 'A': 2151, 'O': 1755, 'S': 1560, 'R': 1047, 'I': 946, 'M': 829, 'D': 762, 'U': 757, 'T': 756, 'N': 746, 'C': 584, 'L': 403, 'P': 378, 'Q': 260, 'V': 202, 'G': 193, 'F': 155, 'H': 126, 'B': 116, 'Z': 80, 'J': 64, 'X': 38, '9': 30, '0': 2, '6': 2, '5': 1, 'Y': 0}","{'E': 73632, 'A': 68832, 'O': 56160, 'S': 49920, 'R': 33504, 'I': 30272, 'M': 26528, 'D': 24384, 'U': 24224, 'T': 24192, 'N': 23872, 'C': 18688, 'L': 12896, 'P': 12096, 'Q': 8320, 'V': 6464, 'G': 6176, 'F': 4960, 'H': 4032, 'B': 3712, 'Z': 2560, 'J': 2048, 'X': 1216, '9': 960, '0': 64, '6': 64, '5': 32, 'Y': 0}",0.9999320062608986,0.1637498520169448,-27.53333333333333,124.53333333333332,0.1637498520169448,29566.266666666663,171.9484418849635,0.0963273923056369,473,424442432.49777776,0.9999677018868436,0.9999302170124298,0.9999677018868436,0.9999825855348558,0.9999502879841536,0.9999302170124298,446,581,0.2529313232830821,0.0268006700167504,1.0,1.0,1.0,0.9987197130099468,1.0,1.0,0.7,1.0,1.0,,0.5445907356330686,0.6258255181465144,0.626465661641541,0.626465661641541
0.05,10,"{'E': 3666, 'A': 3466, 'O': 2813, 'S': 2478, 'R': 1701, 'I': 1504, 'M': 1325, 'T': 1236, 'D': 1220, 'U': 1195, 'N': 1194, 'C': 953, 'L': 629, 'P': 610, 'Q': 431, 'V': 330, 'G': 296, 'F': 267, 'H': 201, 'B': 183, 'Z': 122, 'J': 103, 'X': 64, '9': 45, '6': 3, '0': 3, '5': 1, 'Y': 0, '1': 0}","{'E': 73320, 'A': 69320, 'O': 56260, 'S': 49560, 'R': 34020, 'I': 30080, 'M': 26500, 'T': 24720, 'D': 24400, 'U': 23900, 'N': 23880, 'C': 19060, 'L': 12580, 'P': 12200, 'Q': 8620, 'V': 6600, 'G': 5920, 'F': 5340, 'H': 4020, 'B': 3660, 'Z': 2440, 'J': 2060, 'X': 1280, '9': 900, '6': 60, '0': 60, '5': 20, 'Y': 0, '1': 0}",0.9999330151776288,0.1361946931248433,4.866666666666666,108.66666666666669,0.1361946931248433,28404.4,168.53604955617064,0.0808475985849642,592,424636976.9777778,0.999969151647597,0.9999329592770544,0.999969151647597,0.999983277524952,0.9999524296884096,0.9999329592770544,471,586,0.2110552763819095,0.0184254606365159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5374302916285331,0.6055276381909548,0.6055276381909548,0.6055276381909548
0.075,10,"{'E': 5450, 'A': 5162, 'O': 4247, 'S': 3738, 'R': 2542, 'I': 2256, 'M': 1986, 'T': 1821, 'D': 1814, 'U': 1808, 'N': 1758, 'C': 1405, 'L': 956, 'P': 922, 'Q': 638, 'V': 486, 'G': 450, 'F': 390, 'H': 298, 'B': 279, 'Z': 186, 'J': 142, 'X': 92, '9': 75, '6': 7, '0': 4, '5': 2, '1': 0, 'Y': 0}","{'E': 72667, 'A': 68827, 'O': 56627, 'S': 49840, 'R': 33893, 'I': 30080, 'M': 26480, 'T': 24280, 'D': 24187, 'U': 24107, 'N': 23440, 'C': 18733, 'L': 12747, 'P': 12293, 'Q': 8507, 'V': 6480, 'G': 6000, 'F': 5200, 'H': 3973, 'B': 3720, 'Z': 2480, 'J': 1893, 'X': 1227, '9': 1000, '6': 93, '0': 53, '5': 27, '1': 0, 'Y': 0}",0.9999360435642404,0.1482445268730846,-59.333333333333336,109.4,0.1482445268730846,30618.066666666666,174.98018935487144,0.0864690035542987,575,423135631.9711111,0.9999687939514684,0.999927734529702,0.9999687939514684,0.9999819103435856,0.9999507048595606,0.999927734529702,486,586,0.185929648241206,0.0184254606365159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.5188425606840608,0.592964824120603,0.592964824120603,0.592964824120603
0.1,10,"{'E': 7286, 'A': 6868, 'O': 5614, 'S': 5014, 'R': 3377, 'I': 2983, 'M': 2640, 'D': 2474, 'T': 2450, 'N': 2421, 'U': 2411, 'C': 1894, 'L': 1281, 'P': 1241, 'Q': 864, 'V': 661, 'G': 606, 'F': 518, 'H': 395, 'B': 378, 'Z': 254, 'J': 208, 'X': 132, '9': 96, '6': 7, '0': 6, '5': 1, 'Y': 0}","{'E': 72860, 'A': 68680, 'O': 56140, 'S': 50140, 'R': 33770, 'I': 29830, 'M': 26400, 'D': 24740, 'T': 24500, 'N': 24210, 'U': 24110, 'C': 18940, 'L': 12810, 'P': 12410, 'Q': 8640, 'V': 6610, 'G': 6060, 'F': 5180, 'H': 3950, 'B': 3780, 'Z': 2540, 'J': 2080, 'X': 1320, '9': 960, '6': 70, '0': 60, '5': 10, 'Y': 0}",0.9999673853767902,0.1236863616507582,5.533333333333333,75.13333333333334,0.1236863616507582,13849.066666666668,117.68205753923012,0.0771834761938435,351,422823395.0000001,0.9999857204773576,0.9999673131120016,0.9999857204773576,0.9999918116207446,0.9999775322150284,0.9999673131120016,489,578,0.1809045226130653,0.0318257956448911,0.9,1.0,1.0,0.989871901456464,1.0,1.0,0.7,1.0,1.0,,0.5286090804811535,0.5853882120347647,0.5904522613065326,0.5904522613065326
0.125,10,"{'E': 9206, 'A': 8578, 'O': 7010, 'S': 6223, 'R': 4253, 'I': 3759, 'M': 3301, 'T': 3042, 'D': 3034, 'U': 3003, 'N': 2992, 'C': 2347, 'L': 1594, 'P': 1524, 'Q': 1063, 'V': 847, 'G': 764, 'F': 655, 'H': 490, 'B': 469, 'Z': 311, 'J': 244, 'X': 157, '9': 121, '6': 10, '0': 7, '5': 2, 'K': 0, 'Y': 0, '1': 0}","{'E': 73648, 'A': 68624, 'O': 56080, 'S': 49784, 'R': 34024, 'I': 30072, 'M': 26408, 'T': 24336, 'D': 24272, 'U': 24024, 'N': 23936, 'C': 18776, 'L': 12752, 'P': 12192, 'Q': 8504, 'V': 6776, 'G': 6112, 'F': 5240, 'H': 3920, 'B': 3752, 'Z': 2488, 'J': 1952, 'X': 1256, '9': 968, '6': 80, '0': 56, '5': 16, 'K': 0, 'Y': 0, '1': 0}",0.9999559559174264,0.1176884337194353,-19.53333333333333,93.6,0.1176884337194353,19042.533333333333,137.9946858880201,0.0734398870572843,489,423856781.8311111,0.9999780747191068,0.9999550553716542,0.9999780747191068,0.9999887684235148,0.9999668433888772,0.9999550553716542,513,594,0.1407035175879397,0.0050251256281407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5115075419342522,0.5703517587939698,0.5703517587939698,0.5703517587939698
0.15,10,"{'E': 10980, 'A': 10228, 'O': 8500, 'S': 7498, 'R': 5038, 'I': 4479, 'M': 4000, 'D': 3658, 'T': 3657, 'U': 3631, 'N': 3590, 'C': 2849, 'L': 1920, 'P': 1851, 'Q': 1276, 'V': 993, 'G': 915, 'F': 767, 'H': 600, 'B': 565, 'Z': 380, 'J': 302, 'X': 193, '9': 143, '6': 12, '0': 8, '5': 2, '1': 0, 'K': 0, 'Y': 0}","{'E': 73200, 'A': 68187, 'O': 56667, 'S': 49987, 'R': 33587, 'I': 29860, 'M': 26667, 'D': 24387, 'T': 24380, 'U': 24207, 'N': 23933, 'C': 18993, 'L': 12800, 'P': 12340, 'Q': 8507, 'V': 6620, 'G': 6100, 'F': 5113, 'H': 4000, 'B': 3767, 'Z': 2533, 'J': 2013, 'X': 1287, '9': 953, '6': 80, '0': 53, '5': 13, '1': 0, 'K': 0, 'Y': 0}",0.9999555534836414,0.1138680676654023,-13.333333333333334,73.66666666666667,0.1138680676654023,19009.266666666663,137.8740971563066,0.0734708025724084,541,423075788.5377779,0.9999787625139336,0.9999551338884116,0.9999787625139336,0.9999887673475668,0.9999675301000536,0.9999551338884116,520,593,0.1289782244556113,0.0067001675041876,1.0,1.0,1.0,0.9995182931156718,1.0,1.0,0.8,1.0,1.0,0.9954022988505749,0.5075550783951045,0.5642482587856416,0.5644891122278056,0.5644891122278056
0.175,10,"{'E': 12726, 'A': 11996, 'O': 9864, 'S': 8730, 'R': 5937, 'I': 5313, 'M': 4624, 'T': 4304, 'N': 4276, 'D': 4246, 'U': 4209, 'C': 3308, 'L': 2218, 'P': 2156, 'Q': 1494, 'V': 1158, 'G': 1057, 'F': 917, 'H': 694, 'B': 651, 'Z': 436, 'J': 357, 'X': 221, '9': 170, '6': 14, '0': 10, '5': 2, 'K': 0, '1': 0, 'Y': 0}","{'E': 72720, 'A': 68549, 'O': 56366, 'S': 49886, 'R': 33926, 'I': 30360, 'M': 26423, 'T': 24594, 'N': 24434, 'D': 24263, 'U': 24051, 'C': 18903, 'L': 12674, 'P': 12320, 'Q': 8537, 'V': 6617, 'G': 6040, 'F': 5240, 'H': 3966, 'B': 3720, 'Z': 2491, 'J': 2040, 'X': 1263, '9': 971, '6': 80, '0': 57, '5': 11, 'K': 0, '1': 0, 'Y': 0}",0.9999505291559506,0.1185079342998105,-4.4,85.0,0.1185079342998105,20979.6,144.84336367262395,0.0744579174203424,439,422748688.7688889,0.999977627585166,0.99995048346203,0.999977627585166,0.9999875934921422,0.9999652213548718,0.99995048346203,530,593,0.1122278056951423,0.0067001675041876,0.89,1.0,1.0,0.9895550282350674,1.0,1.0,0.8,1.0,1.0,0.9908045977011494,0.4968599356976659,0.5508914169651048,0.5561139028475711,0.5561139028475711
0.2,10,"{'E': 14633, 'A': 13755, 'O': 11283, 'S': 9922, 'R': 6775, 'I': 5976, 'M': 5303, 'T': 4901, 'D': 4875, 'U': 4806, 'N': 4802, 'C': 3774, 'L': 2529, 'P': 2483, 'Q': 1719, 'V': 1326, 'G': 1217, 'F': 1025, 'H': 799, 'B': 757, 'Z': 499, 'J': 393, 'X': 252, '9': 197, '6': 18, '0': 12, '5': 4, 'Y': 1, 'K': 0, '1': 0}","{'E': 73165, 'A': 68775, 'O': 56415, 'S': 49610, 'R': 33875, 'I': 29880, 'M': 26515, 'T': 24505, 'D': 24375, 'U': 24030, 'N': 24010, 'C': 18870, 'L': 12645, 'P': 12415, 'Q': 8595, 'V': 6630, 'G': 6085, 'F': 5125, 'H': 3995, 'B': 3785, 'Z': 2495, 'J': 1965, 'X': 1260, '9': 985, '6': 90, '0': 60, '5': 20, 'Y': 5, 'K': 0, '1': 0}",0.9999831368768188,0.1372523000198092,-15.133333333333333,43.333333333333336,0.1372523000198092,7373.733333333334,85.87044505144557,0.0519539792963427,397,423398319.1444444,0.9999917922307152,0.999982596343754,0.9999917922307152,0.9999956461203932,0.9999874383868442,0.999982596343754,534,597,0.1055276381909547,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48413766908557276,0.5527638190954773,0.5527638190954773,0.5527638190954773
0.225,10,"{'E': 16429, 'A': 15465, 'O': 12656, 'S': 11236, 'R': 7644, 'I': 6772, 'M': 5981, 'D': 5511, 'T': 5477, 'U': 5410, 'N': 5380, 'C': 4278, 'L': 2878, 'P': 2771, 'Q': 1938, 'V': 1468, 'G': 1372, 'F': 1149, 'H': 910, 'B': 844, 'Z': 561, 'J': 447, 'X': 282, '9': 214, '6': 21, '0': 14, '5': 4, 'Y': 0, '1': 0, 'K': 0}","{'E': 73018, 'A': 68733, 'O': 56249, 'S': 49938, 'R': 33973, 'I': 30098, 'M': 26582, 'D': 24493, 'T': 24342, 'U': 24044, 'N': 23911, 'C': 19013, 'L': 12791, 'P': 12316, 'Q': 8613, 'V': 6524, 'G': 6098, 'F': 5107, 'H': 4044, 'B': 3751, 'Z': 2493, 'J': 1987, 'X': 1253, '9': 951, '6': 93, '0': 62, '5': 18, 'Y': 0, '1': 0, 'K': 0}",0.9999892165363397,0.1157556527133774,-4.633333333333334,48.1,0.1157556527133774,4590.3,67.75175274485524,0.0743032592832799,160,423374229.3111113,0.9999948762341,0.9999891658675932,0.9999948762341,0.9999972894621116,0.9999921657100996,0.9999891658675932,537,594,0.100502512562814,0.0050251256281407,1.0,1.0,1.0,0.9995182931156718,1.0,1.0,0.8,1.0,1.0,0.9954022988505749,0.49237342992471833,0.5500104028392429,0.550251256281407,0.550251256281407
0.25,10,"{'E': 18354, 'A': 17148, 'O': 14040, 'S': 12501, 'R': 8480, 'I': 7516, 'M': 6591, 'T': 6115, 'D': 6073, 'U': 6058, 'N': 5990, 'C': 4740, 'L': 3180, 'P': 3081, 'Q': 2147, 'V': 1676, 'G': 1528, 'F': 1284, 'H': 985, 'B': 932, 'Z': 638, 'J': 495, 'X': 321, '9': 232, '6': 22, '0': 16, '5': 4, '1': 0, 'K': 0, 'Y': 0}","{'E': 73416, 'A': 68592, 'O': 56160, 'S': 50004, 'R': 33920, 'I': 30064, 'M': 26364, 'T': 24460, 'D': 24292, 'U': 24232, 'N': 23960, 'C': 18960, 'L': 12720, 'P': 12324, 'Q': 8588, 'V': 6704, 'G': 6112, 'F': 5136, 'H': 3940, 'B': 3728, 'Z': 2552, 'J': 1980, 'X': 1284, '9': 928, '6': 88, '0': 64, '5': 16, '1': 0, 'K': 0, 'Y': 0}",0.999982316777942,0.1110891166716946,-1.5333333333333334,56.2,0.1110891166716946,7494.533333333334,86.57097281036718,0.0728778813817971,257,423715520.7644444,0.9999911616195708,0.9999823112287952,0.9999911616195708,0.9999955781061668,0.9999867397648198,0.9999823112287952,541,595,0.0938023450586264,0.0033500837520938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4913566141934659,0.5469011725293133,0.5469011725293133,0.5469011725293133
0.275,10,"{'E': 20124, 'A': 18896, 'O': 15414, 'S': 13758, 'R': 9251, 'I': 8224, 'M': 7307, 'D': 6746, 'T': 6733, 'U': 6622, 'N': 6580, 'C': 5213, 'L': 3509, 'P': 3370, 'Q': 2343, 'V': 1837, 'G': 1666, 'F': 1422, 'H': 1095, 'B': 1027, 'Z': 692, 'J': 542, 'X': 347, '9': 251, '6': 24, '0': 16, '5': 3, 'Y': 1, 'K': 0, '1': 0}","{'E': 73178, 'A': 68713, 'O': 56051, 'S': 50029, 'R': 33640, 'I': 29905, 'M': 26571, 'D': 24531, 'T': 24484, 'U': 24080, 'N': 23927, 'C': 18956, 'L': 12760, 'P': 12255, 'Q': 8520, 'V': 6680, 'G': 6058, 'F': 5171, 'H': 3982, 'B': 3735, 'Z': 2516, 'J': 1971, 'X': 1262, '9': 913, '6': 87, '0': 58, '5': 11, 'Y': 4, 'K': 0, '1': 0}",0.9999876754286222,0.1136976826838125,-19.53333333333333,43.333333333333336,0.1136976826838125,5603.333333333333,74.8554161923727,0.0426093648228669,265,423293723.1977777,0.9999942617045888,0.99998677488285,0.9999942617045888,0.9999966906461856,0.9999909523697644,0.99998677488285,545,596,0.0871021775544388,0.0016750418760469,1.0,1.0,1.0,0.9995182931156718,1.0,1.0,0.8,1.0,1.0,0.9954022988505749,0.48670224743531315,0.5433102353350553,0.5435510887772194,0.5435510887772194
0.3,10,"{'E': 21929, 'A': 20610, 'O': 16861, 'S': 15008, 'R': 10142, 'I': 8994, 'M': 7993, 'T': 7369, 'D': 7314, 'U': 7209, 'N': 7178, 'C': 5652, 'L': 3807, 'P': 3689, 'Q': 2592, 'V': 1994, 'G': 1818, 'F': 1546, 'H': 1215, 'B': 1136, 'Z': 765, 'J': 600, 'X': 376, '9': 276, '6': 26, '0': 19, '5': 4, '1': 1, 'K': 0, 'Y': 0}","{'E': 73097, 'A': 68700, 'O': 56203, 'S': 50027, 'R': 33807, 'I': 29980, 'M': 26643, 'T': 24563, 'D': 24380, 'U': 24030, 'N': 23927, 'C': 18840, 'L': 12690, 'P': 12297, 'Q': 8640, 'V': 6647, 'G': 6060, 'F': 5153, 'H': 4050, 'B': 3787, 'Z': 2550, 'J': 2000, 'X': 1253, '9': 920, '6': 87, '0': 63, '5': 13, '1': 3, 'K': 0, 'Y': 0}",0.9999952879350792,0.1402268382246073,-7.466666666666667,32.0,0.1402268382246073,2052.2,45.30121411176526,0.0724894104903602,113,423326699.2333332,0.9999980056661736,0.9999951563500152,0.9999980056661736,0.9999987880533424,0.999996793721933,0.9999951563500152,548,595,0.0820770519262981,0.0033500837520938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954022988505749,0.47092510685084543,0.541038525963149,0.541038525963149,0.541038525963149
0.325,10,"{'E': 23770, 'A': 22381, 'O': 18320, 'S': 16275, 'R': 10963, 'I': 9761, 'M': 8591, 'T': 7954, 'D': 7906, 'N': 7823, 'U': 7810, 'C': 6155, 'L': 4133, 'P': 3989, 'Q': 2801, 'V': 2123, 'G': 1976, 'F': 1686, 'H': 1288, 'B': 1229, 'Z': 814, 'J': 652, 'X': 418, '9': 314, '6': 27, '0': 20, '5': 4, 'Y': 1, 'K': 1, '1': 0}","{'E': 73138, 'A': 68865, 'O': 56369, 'S': 50077, 'R': 33732, 'I': 30034, 'M': 26434, 'T': 24474, 'D': 24326, 'N': 24071, 'U': 24031, 'C': 18938, 'L': 12717, 'P': 12274, 'Q': 8618, 'V': 6532, 'G': 6080, 'F': 5188, 'H': 3963, 'B': 3782, 'Z': 2505, 'J': 2006, 'X': 1286, '9': 966, '6': 83, '0': 62, '5': 12, 'Y': 3, 'K': 3, '1': 0}",0.9999936026806656,0.1262657215476514,-2.1666666666666665,35.63333333333333,0.1262657215476514,2715.1666666666665,52.10726117026941,0.0355707960348117,147,423921013.8599998,0.999996954954384,0.9999935916007292,0.999996954954384,0.9999983987805332,0.9999953537397932,0.9999935916007292,552,597,0.0753768844221105,0.0,0.9,1.0,1.0,0.9903536083407924,1.0,1.0,0.9,1.0,1.0,0.9908045977011494,0.4745555814372296,0.5328652463814515,0.5376884422110553,0.5376884422110553
0.35,10,"{'E': 25673, 'A': 24064, 'O': 19752, 'S': 17504, 'R': 11868, 'I': 10500, 'M': 9328, 'T': 8530, 'D': 8529, 'U': 8395, 'N': 8362, 'C': 6628, 'L': 4456, 'P': 4318, 'Q': 2979, 'V': 2304, 'G': 2131, 'F': 1813, 'H': 1393, 'B': 1325, 'Z': 881, 'J': 692, 'X': 452, '9': 334, '6': 30, '0': 24, '5': 5, 'K': 1, 'Y': 1, '1': 0}","{'E': 73351, 'A': 68754, 'O': 56434, 'S': 50011, 'R': 33909, 'I': 30000, 'M': 26651, 'T': 24371, 'D': 24369, 'U': 23986, 'N': 23891, 'C': 18937, 'L': 12731, 'P': 12337, 'Q': 8511, 'V': 6583, 'G': 6089, 'F': 5180, 'H': 3980, 'B': 3786, 'Z': 2517, 'J': 1977, 'X': 1291, '9': 954, '6': 86, '0': 69, '5': 14, 'K': 3, 'Y': 3, '1': 0}",0.9999910336459318,0.1235927918167236,4.7,38.1,0.1235927918167236,3821.033333333333,61.81450746655945,0.0351839784742676,192,424221383.85555553,0.9999963163095232,0.999990981508602,0.9999963163095232,0.9999977482130352,0.9999940645308536,0.999990981508602,559,598,0.0636515912897822,-0.0016750418760469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9954022988505749,0.47002939973652935,0.5318257956448911,0.5318257956448911,0.5318257956448911
0.375,10,"{'E': 27406, 'A': 25794, 'O': 21142, 'S': 18730, 'R': 12705, 'I': 11220, 'M': 10009, 'T': 9192, 'D': 9144, 'N': 9059, 'U': 9010, 'C': 7097, 'L': 4785, 'P': 4594, 'Q': 3234, 'V': 2487, 'G': 2296, 'F': 1917, 'H': 1486, 'B': 1427, 'Z': 949, 'J': 750, 'X': 474, '9': 360, '6': 34, '0': 25, '5': 5, 'K': 1, 'Y': 1, '1': 0}","{'E': 73083, 'A': 68784, 'O': 56379, 'S': 49947, 'R': 33880, 'I': 29920, 'M': 26691, 'T': 24512, 'D': 24384, 'N': 24157, 'U': 24027, 'C': 18925, 'L': 12760, 'P': 12251, 'Q': 8624, 'V': 6632, 'G': 6123, 'F': 5112, 'H': 3963, 'B': 3805, 'Z': 2531, 'J': 2000, 'X': 1264, '9': 960, '6': 91, '0': 67, '5': 13, 'K': 3, 'Y': 3, '1': 0}",0.9999943304790816,0.126142600140171,8.566666666666666,35.7,0.126142600140171,2475.5,49.7543967906355,0.035223176658355,142,423665135.9177778,0.9999971664887274,0.9999941572675484,0.9999971664887274,0.9999985392376112,0.9999957057304778,0.9999941572675484,560,598,0.0619765494137353,-0.0016750418760469,0.9,1.0,1.0,0.9903536083407924,1.0,1.0,0.9,1.0,1.0,0.9908045977011494,0.46791697463678217,0.5261650788772638,0.5309882747068676,0.5309882747068676
0.4,10,"{'E': 29252, 'A': 27560, 'O': 22549, 'S': 20008, 'R': 13529, 'I': 11995, 'M': 10654, 'D': 9813, 'T': 9743, 'U': 9644, 'N': 9619, 'C': 7562, 'L': 5077, 'P': 4929, 'Q': 3449, 'V': 2639, 'G': 2426, 'F': 2061, 'H': 1586, 'B': 1537, 'Z': 999, 'J': 788, 'X': 512, '9': 388, '6': 36, '0': 26, '5': 6, 'Y': 1, 'K': 0, '1': 0}","{'E': 73130, 'A': 68900, 'O': 56372, 'S': 50020, 'R': 33822, 'I': 29988, 'M': 26635, 'D': 24532, 'T': 24358, 'U': 24110, 'N': 24048, 'C': 18905, 'L': 12692, 'P': 12322, 'Q': 8622, 'V': 6598, 'G': 6065, 'F': 5152, 'H': 3965, 'B': 3842, 'Z': 2498, 'J': 1970, 'X': 1280, '9': 970, '6': 90, '0': 65, '5': 15, 'Y': 2, 'K': 0, '1': 0}",0.9999930932422296,0.0754683921488153,11.133333333333333,34.266666666666666,0.0754683921488153,3050.266666666667,55.22921931972846,0.0323163790852854,172,424012257.1533333,0.999996842965446,0.9999928006899456,0.999996842965446,0.9999982015489356,0.9999950445200592,0.9999928006899456,561,596,0.0603015075376884,0.0016750418760469,1.0,1.0,1.0,0.9995182931156718,1.0,1.0,0.8,1.0,1.0,0.9954022988505749,0.49241655769443654,0.5299099003266801,0.5301507537688442,0.5301507537688442
0.425,10,"{'E': 31027, 'A': 29253, 'O': 23996, 'S': 21212, 'R': 14334, 'I': 12762, 'M': 11310, 'T': 10458, 'D': 10357, 'U': 10246, 'N': 10173, 'C': 8096, 'L': 5408, 'P': 5204, 'Q': 3645, 'V': 2812, 'G': 2589, 'F': 2194, 'H': 1696, 'B': 1578, 'Z': 1068, 'J': 852, 'X': 527, '9': 407, '6': 35, '0': 25, '5': 6, 'Y': 1, 'K': 0, '1': 0}","{'E': 73005, 'A': 68831, 'O': 56461, 'S': 49911, 'R': 33727, 'I': 30028, 'M': 26612, 'T': 24607, 'D': 24369, 'U': 24108, 'N': 23936, 'C': 19049, 'L': 12725, 'P': 12245, 'Q': 8576, 'V': 6616, 'G': 6092, 'F': 5162, 'H': 3991, 'B': 3713, 'Z': 2513, 'J': 2005, 'X': 1240, '9': 958, '6': 82, '0': 59, '5': 14, 'Y': 2, 'K': 0, '1': 0}",0.9999908625769566,0.0734081620704019,0.1,41.36666666666667,0.0734081620704019,3871.433333333333,62.22084323868758,0.0322584855342755,154,423678324.0688888,0.999995431397652,0.9999908625533545,0.999995431397652,0.9999977155873516,0.9999931469954404,0.9999908625533545,562,595,0.0586264656616415,0.0033500837520938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4926091517956198,0.5293132328308208,0.5293132328308208,0.5293132328308208
0.45,10,"{'E': 32975, 'A': 30962, 'O': 25347, 'S': 22510, 'R': 15205, 'I': 13487, 'M': 11914, 'T': 11003, 'D': 10971, 'U': 10835, 'N': 10813, 'C': 8522, 'L': 5728, 'P': 5559, 'Q': 3870, 'V': 2984, 'G': 2740, 'F': 2317, 'H': 1806, 'B': 1702, 'Z': 1136, 'J': 891, 'X': 577, '9': 434, '6': 39, '0': 29, '5': 6, '1': 1, 'Y': 1, 'K': 0}","{'E': 73278, 'A': 68804, 'O': 56327, 'S': 50022, 'R': 33789, 'I': 29971, 'M': 26476, 'T': 24451, 'D': 24380, 'U': 24078, 'N': 24029, 'C': 18938, 'L': 12729, 'P': 12353, 'Q': 8600, 'V': 6631, 'G': 6089, 'F': 5149, 'H': 4013, 'B': 3782, 'Z': 2524, 'J': 1980, 'X': 1282, '9': 964, '6': 87, '0': 64, '5': 13, '1': 2, 'Y': 2, 'K': 0}",0.9999964756072448,0.0724412182809503,5.766666666666667,24.3,0.0724412182809503,1526.5,39.07044919117261,0.0217025955327519,119,423937698.3244445,0.999998412297273,0.9999963971193344,0.999998412297273,0.999999099809576,0.999997512108278,0.9999963971193344,565,598,0.0536013400335008,-0.0016750418760469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49058006087627526,0.5268006700167503,0.5268006700167503,0.5268006700167503
0.475,10,"{'E': 34702, 'A': 32596, 'O': 26751, 'S': 23674, 'R': 16072, 'I': 14274, 'M': 12637, 'T': 11632, 'D': 11581, 'U': 11476, 'N': 11400, 'C': 9014, 'L': 6035, 'P': 5850, 'Q': 4063, 'V': 3129, 'G': 2904, 'F': 2422, 'H': 1897, 'B': 1803, 'Z': 1199, 'J': 956, 'X': 605, '9': 459, '6': 38, '0': 30, '5': 7, 'Y': 1, 'K': 0, '1': 0}","{'E': 73057, 'A': 68623, 'O': 56318, 'S': 49840, 'R': 33836, 'I': 30051, 'M': 26604, 'T': 24488, 'D': 24381, 'U': 24160, 'N': 24000, 'C': 18977, 'L': 12705, 'P': 12316, 'Q': 8554, 'V': 6587, 'G': 6114, 'F': 5099, 'H': 3994, 'B': 3796, 'Z': 2524, 'J': 2013, 'X': 1274, '9': 966, '6': 80, '0': 63, '5': 15, 'Y': 2, 'K': 0, '1': 0}",0.9999948250245092,0.0748160493040961,-6.566666666666666,28.03333333333333,0.0748160493040961,2235.7,47.28318940173135,0.0324257293712699,167,423172031.38000005,0.9999981516843862,0.999994723249064,0.9999981516843862,0.9999986792032074,0.9999968308900348,0.999994723249064,564,595,0.0552763819095477,0.0033500837520938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49023016630272576,0.5276381909547738,0.5276381909547738,0.5276381909547738
