probability,N,counter,counter_transformed,explained_variance_score,mean_relative_error,mean_bias_error,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,mean_squared_log_error,max_error,covariance,correlation,coefficient_of_determination,pearson_correlation_coefficient,willmott_index,confidence_index,nash_sutcliffe_efficiency,BR,BR_transformed,BS,BS_transformed,ap@10,ap@5,ap@3,ndcg@10,ndcg@5,ndcg@3,acc@10,acc@5,acc@3,kendall_tau,cee,cre@10,cre@5,cre@3
0.025,10,"{'E': 815, 'T': 674, 'O': 555, 'A': 518, 'I': 502, 'N': 466, 'S': 417, 'H': 398, 'R': 358, 'L': 278, 'D': 212, 'U': 198, 'W': 164, 'M': 158, 'Y': 155, 'C': 154, 'G': 147, 'F': 142, 'B': 112, 'P': 108, 'V': 66, 'K': 51, 'X': 10, 'J': 8, 'Q': 6, 'Z': 2, '1': 1, '3': 1, '0': 1, '5': 1, '7': 1, '2': 1, '8': 0, '4': 0, '9': 0, '6': 0}","{'E': 32600, 'T': 26960, 'O': 22200, 'A': 20720, 'I': 20080, 'N': 18640, 'S': 16680, 'H': 15920, 'R': 14320, 'L': 11120, 'D': 8480, 'U': 7920, 'W': 6560, 'M': 6320, 'Y': 6200, 'C': 6160, 'G': 5880, 'F': 5680, 'B': 4480, 'P': 4320, 'V': 2640, 'K': 2040, 'X': 400, 'J': 320, 'Q': 240, 'Z': 80, '1': 40, '3': 40, '0': 40, '5': 40, '7': 40, '2': 40, '8': 0, '4': 0, '9': 0, '6': 0}",0.9996329808969632,0.309170295751808,44.138888888888886,106.02777777777776,0.309170295751808,29515.86111111111,171.801807647973,0.8224378504464791,519,75745368.14814815,0.9998545128888596,0.9996070431532346,0.9998545128888596,0.9999025914496972,0.9997571185102452,0.9996070431532346,492,658,0.2656716417910448,0.017910447761194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9746031746031746,0.47825067301961843,0.6328358208955224,0.6328358208955224,0.6328358208955224
0.03125,10,"{'E': 1008, 'T': 836, 'O': 686, 'A': 634, 'I': 602, 'N': 577, 'S': 514, 'H': 477, 'R': 437, 'L': 351, 'D': 267, 'U': 250, 'M': 203, 'W': 201, 'Y': 192, 'C': 190, 'F': 183, 'G': 180, 'P': 140, 'B': 138, 'V': 86, 'K': 68, 'X': 13, 'Q': 9, 'J': 9, 'Z': 2, '0': 2, '1': 2, '6': 1, '2': 1, '5': 1, '3': 1, '7': 0, '9': 0, '4': 0, '8': 0}","{'E': 32256, 'T': 26752, 'O': 21952, 'A': 20288, 'I': 19264, 'N': 18464, 'S': 16448, 'H': 15264, 'R': 13984, 'L': 11232, 'D': 8544, 'U': 8000, 'M': 6496, 'W': 6432, 'Y': 6144, 'C': 6080, 'F': 5856, 'G': 5760, 'P': 4480, 'B': 4416, 'V': 2752, 'K': 2176, 'X': 416, 'Q': 288, 'J': 288, 'Z': 64, '0': 64, '1': 64, '6': 32, '2': 32, '5': 32, '3': 32, '7': 0, '9': 0, '4': 0, '8': 0}",0.9992665267407964,0.2611138591521402,-34.97222222222222,141.52777777777777,0.2611138591521402,56315.86111111111,237.30963130709867,0.7779694591629066,871,74482632.51851854,0.9996629327437844,0.9992502436868842,0.9996629327437844,0.9998110122581608,0.9994740087035248,0.9992502436868842,502,662,0.2507462686567164,0.0119402985074626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984126984126984,0.49481620475228805,0.6253731343283582,0.6253731343283582,0.6253731343283582
0.05,10,"{'E': 1610, 'T': 1330, 'O': 1081, 'A': 1040, 'I': 1016, 'N': 950, 'S': 828, 'H': 796, 'R': 698, 'L': 531, 'D': 440, 'U': 399, 'Y': 317, 'M': 315, 'C': 308, 'W': 305, 'F': 298, 'G': 289, 'P': 218, 'B': 212, 'V': 139, 'K': 97, 'X': 17, 'J': 14, 'Q': 13, '1': 3, '3': 2, 'Z': 2, '2': 2, '8': 1, '0': 1, '4': 1, '5': 1, '9': 0, '6': 0, '7': 0}","{'E': 32200, 'T': 26600, 'O': 21620, 'A': 20800, 'I': 20320, 'N': 19000, 'S': 16560, 'H': 15920, 'R': 13960, 'L': 10620, 'D': 8800, 'U': 7980, 'Y': 6340, 'M': 6300, 'C': 6160, 'W': 6100, 'F': 5960, 'G': 5780, 'P': 4360, 'B': 4240, 'V': 2780, 'K': 1940, 'X': 340, 'J': 280, 'Q': 260, '1': 60, '3': 40, 'Z': 40, '2': 40, '8': 20, '0': 20, '4': 20, '5': 20, '9': 0, '6': 0, '7': 0}",0.999901460661247,0.1814010919762128,-3.638888888888889,63.69444444444444,0.1814010919762128,7414.75,86.10894262502589,0.535176008185969,185,75188349.35185185,0.999951346197816,0.9999012843715254,0.999951346197816,0.9999753466884638,0.9999266940857572,0.9999012843715254,520,660,0.2238805970149253,0.0149253731343283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777776,0.5212397525193563,0.6119402985074627,0.6119402985074627,0.6119402985074627
0.075,10,"{'E': 2396, 'T': 1986, 'O': 1615, 'A': 1557, 'I': 1514, 'N': 1400, 'S': 1255, 'H': 1189, 'R': 1071, 'L': 797, 'D': 664, 'U': 608, 'M': 480, 'W': 473, 'Y': 470, 'C': 458, 'G': 436, 'F': 431, 'P': 331, 'B': 320, 'V': 212, 'K': 151, 'X': 28, 'J': 26, 'Q': 21, '1': 5, '2': 3, 'Z': 3, '3': 2, '0': 2, '9': 1, '5': 1, '7': 1, '6': 1, '4': 1, '8': 0}","{'E': 31947, 'T': 26480, 'O': 21533, 'A': 20760, 'I': 20187, 'N': 18667, 'S': 16733, 'H': 15853, 'R': 14280, 'L': 10627, 'D': 8853, 'U': 8107, 'M': 6400, 'W': 6307, 'Y': 6267, 'C': 6107, 'G': 5813, 'F': 5747, 'P': 4413, 'B': 4267, 'V': 2827, 'K': 2013, 'X': 373, 'J': 347, 'Q': 280, '1': 67, '2': 40, 'Z': 40, '3': 27, '0': 27, '9': 13, '5': 13, '7': 13, '6': 13, '4': 13, '8': 0}",0.9999115640623878,0.0961982992578872,-4.361111111111111,55.083333333333336,0.0961982992578872,6661.638888888889,81.61886356038589,0.1587538074452748,252,74795844.68981482,0.9999643548947492,0.9999113108507248,0.9999643548947492,0.9999777344229772,0.9999420901113854,0.9999113108507248,537,665,0.1985074626865671,0.0074626865671641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761904,0.55115458171434,0.5992537313432835,0.5992537313432835,0.5992537313432835
0.1,10,"{'E': 3228, 'T': 2663, 'O': 2173, 'A': 2083, 'I': 1997, 'N': 1891, 'S': 1676, 'H': 1602, 'R': 1418, 'L': 1062, 'D': 885, 'U': 810, 'Y': 637, 'M': 632, 'W': 626, 'C': 603, 'G': 588, 'F': 583, 'P': 438, 'B': 437, 'V': 267, 'K': 198, 'X': 44, 'J': 30, 'Q': 24, '1': 7, 'Z': 6, '0': 4, '2': 4, '3': 2, '4': 2, '5': 2, '7': 1, '6': 1, '9': 1, '8': 0}","{'E': 32280, 'T': 26630, 'O': 21730, 'A': 20830, 'I': 19970, 'N': 18910, 'S': 16760, 'H': 16020, 'R': 14180, 'L': 10620, 'D': 8850, 'U': 8100, 'Y': 6370, 'M': 6320, 'W': 6260, 'C': 6030, 'G': 5880, 'F': 5830, 'P': 4380, 'B': 4370, 'V': 2670, 'K': 1980, 'X': 440, 'J': 300, 'Q': 240, '1': 70, 'Z': 60, '0': 40, '2': 40, '3': 20, '4': 20, '5': 20, '7': 10, '6': 10, '9': 10, '8': 0}",0.9999131859154992,0.0791246032631317,17.75,59.25,0.0791246032631317,6835.861111111111,82.67926651289979,0.1540464285470617,199,75249083.95833333,0.9999584073476888,0.99990899135834,0.9999584073476888,0.999977289737272,0.999935698029541,0.99990899135834,554,667,0.1731343283582089,0.0044776119402985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761904,0.5470048625475387,0.5865671641791045,0.5865671641791045,0.5865671641791045
0.125,10,"{'E': 4029, 'T': 3334, 'O': 2693, 'A': 2594, 'I': 2497, 'N': 2357, 'S': 2099, 'H': 1976, 'R': 1754, 'L': 1342, 'D': 1100, 'U': 1006, 'M': 810, 'W': 798, 'Y': 772, 'C': 772, 'F': 742, 'G': 719, 'B': 540, 'P': 538, 'V': 349, 'K': 252, 'X': 49, 'J': 36, 'Q': 32, '1': 9, 'Z': 7, '2': 4, '0': 3, '5': 3, '3': 2, '7': 2, '9': 2, '4': 2, '8': 1, '6': 1}","{'E': 32232, 'T': 26672, 'O': 21544, 'A': 20752, 'I': 19976, 'N': 18856, 'S': 16792, 'H': 15808, 'R': 14032, 'L': 10736, 'D': 8800, 'U': 8048, 'M': 6480, 'W': 6384, 'Y': 6176, 'C': 6176, 'F': 5936, 'G': 5752, 'B': 4320, 'P': 4304, 'V': 2792, 'K': 2016, 'X': 392, 'J': 288, 'Q': 256, '1': 72, 'Z': 56, '2': 32, '0': 24, '5': 24, '3': 16, '7': 16, '9': 16, '4': 16, '8': 8, '6': 8}",0.9999361766181684,0.0880931022686288,5.472222222222222,42.97222222222222,0.0880931022686288,4823.861111111111,69.45402156182975,0.0217698487049412,164,75053917.37037036,0.9999683419311202,0.999935777945142,0.9999683419311202,0.9999839322723862,0.9999522747121796,0.999935777945142,565,673,0.1567164179104477,-0.0044776119402985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984126984126984,0.5343116578209095,0.5783582089552238,0.5783582089552238,0.5783582089552238
0.15,10,"{'E': 4835, 'T': 3962, 'O': 3258, 'A': 3110, 'I': 3032, 'N': 2794, 'S': 2496, 'H': 2389, 'R': 2099, 'L': 1616, 'D': 1326, 'U': 1174, 'M': 957, 'Y': 933, 'W': 933, 'C': 924, 'G': 868, 'F': 852, 'P': 645, 'B': 644, 'V': 410, 'K': 297, 'X': 59, 'J': 47, 'Q': 36, '1': 11, 'Z': 7, '2': 5, '0': 4, '4': 3, '3': 3, '9': 2, '5': 2, '6': 2, '8': 1, '7': 1}","{'E': 32233, 'T': 26413, 'O': 21720, 'A': 20733, 'I': 20213, 'N': 18627, 'S': 16640, 'H': 15927, 'R': 13993, 'L': 10773, 'D': 8840, 'U': 7827, 'M': 6380, 'Y': 6220, 'W': 6220, 'C': 6160, 'G': 5787, 'F': 5680, 'P': 4300, 'B': 4293, 'V': 2733, 'K': 1980, 'X': 393, 'J': 313, 'Q': 240, '1': 73, 'Z': 47, '2': 33, '0': 27, '4': 20, '3': 20, '9': 13, '5': 13, '6': 13, '8': 7, '7': 7}",0.9999060461766384,0.0522419606007706,-19.444444444444443,44.44444444444444,0.0522419606007706,7435.166666666667,86.22741250128446,0.0094808751252339,319,75005520.05787036,0.9999539043651564,0.9999010125560116,0.9999539043651564,0.9999752185492258,0.9999291240566988,0.9999010125560116,571,667,0.1477611940298507,0.0044776119402985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936507936507936,0.5477596167145401,0.5738805970149253,0.5738805970149253,0.5738805970149253
0.175,10,"{'E': 5610, 'T': 4688, 'O': 3795, 'A': 3631, 'I': 3532, 'N': 3282, 'S': 2908, 'H': 2751, 'R': 2467, 'L': 1896, 'D': 1534, 'U': 1406, 'M': 1130, 'Y': 1089, 'C': 1079, 'W': 1073, 'G': 1018, 'F': 1018, 'P': 755, 'B': 755, 'V': 473, 'K': 347, 'X': 66, 'J': 48, 'Q': 41, '1': 11, 'Z': 7, '3': 6, '0': 6, '2': 6, '5': 3, '4': 3, '7': 2, '9': 2, '6': 2, '8': 2}","{'E': 32057, 'T': 26789, 'O': 21686, 'A': 20749, 'I': 20183, 'N': 18754, 'S': 16617, 'H': 15720, 'R': 14097, 'L': 10834, 'D': 8766, 'U': 8034, 'M': 6457, 'Y': 6223, 'C': 6166, 'W': 6131, 'G': 5817, 'F': 5817, 'P': 4314, 'B': 4314, 'V': 2703, 'K': 1983, 'X': 377, 'J': 274, 'Q': 234, '1': 63, 'Z': 40, '3': 34, '0': 34, '2': 34, '5': 17, '4': 17, '7': 11, '9': 11, '6': 11, '8': 11}",0.999980542118286,0.0375901628761399,-6.444444444444445,25.33333333333333,0.0375901628761399,1503.0555555555557,38.76926044633242,0.0062107523877975,124,75084118.16898148,0.9999903339547448,0.999979989200742,0.9999903339547448,0.9999949954528664,0.9999853294559852,0.999979989200742,580,671,0.1343283582089552,-0.0014925373134328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968253968253968,0.5483690976664076,0.5671641791044776,0.5671641791044776,0.5671641791044776
0.2,10,"{'E': 6431, 'T': 5384, 'O': 4354, 'A': 4129, 'I': 4001, 'N': 3743, 'S': 3291, 'H': 3155, 'R': 2835, 'L': 2156, 'D': 1770, 'U': 1618, 'M': 1287, 'Y': 1261, 'C': 1248, 'W': 1247, 'F': 1165, 'G': 1160, 'B': 862, 'P': 850, 'V': 548, 'K': 400, 'X': 81, 'J': 62, 'Q': 49, '1': 12, 'Z': 11, '0': 6, '2': 6, '3': 4, '7': 3, '5': 3, '4': 2, '6': 2, '9': 2, '8': 1}","{'E': 32155, 'T': 26920, 'O': 21770, 'A': 20645, 'I': 20005, 'N': 18715, 'S': 16455, 'H': 15775, 'R': 14175, 'L': 10780, 'D': 8850, 'U': 8090, 'M': 6435, 'Y': 6305, 'C': 6240, 'W': 6235, 'F': 5825, 'G': 5800, 'B': 4310, 'P': 4250, 'V': 2740, 'K': 2000, 'X': 405, 'J': 310, 'Q': 245, '1': 60, 'Z': 55, '0': 30, '2': 30, '3': 20, '7': 15, '5': 15, '4': 10, '6': 10, '9': 10, '8': 5}",0.9999410289770894,0.0667727013592874,2.333333333333333,42.44444444444444,0.0667727013592874,4434.888888888889,66.59496143770104,0.0220748792509163,206,75107224.68749999,0.999970514082211,0.9999409564929524,0.999970514082211,0.9999852383594218,0.9999557528768932,0.9999409564929524,586,665,0.1253731343283582,0.0074626865671641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984126984126984,0.5293002164845354,0.5626865671641791,0.5626865671641791,0.5626865671641791
0.225,10,"{'E': 7244, 'T': 6030, 'O': 4883, 'A': 4684, 'I': 4492, 'N': 4219, 'S': 3758, 'H': 3544, 'R': 3178, 'L': 2441, 'D': 1982, 'U': 1824, 'M': 1453, 'W': 1394, 'Y': 1393, 'C': 1384, 'F': 1322, 'G': 1282, 'P': 980, 'B': 970, 'V': 613, 'K': 438, 'X': 88, 'J': 65, 'Q': 53, '1': 13, 'Z': 9, '0': 7, '3': 6, '2': 6, '5': 5, '4': 4, '9': 3, '7': 2, '8': 2, '6': 2}","{'E': 32196, 'T': 26800, 'O': 21702, 'A': 20818, 'I': 19964, 'N': 18751, 'S': 16702, 'H': 15751, 'R': 14124, 'L': 10849, 'D': 8809, 'U': 8107, 'M': 6458, 'W': 6196, 'Y': 6191, 'C': 6151, 'F': 5876, 'G': 5698, 'P': 4356, 'B': 4311, 'V': 2724, 'K': 1947, 'X': 391, 'J': 289, 'Q': 236, '1': 58, 'Z': 40, '0': 31, '3': 27, '2': 27, '5': 22, '4': 18, '9': 13, '7': 9, '8': 9, '6': 9}",0.9999611713182088,0.0440076322681734,1.3611111111111112,36.47222222222222,0.0440076322681734,2918.361111111112,54.02185771621623,0.0060734071827252,171,75177047.9351852,0.9999809914828652,0.9999611466534678,0.9999809914828652,0.9999902951337244,0.9999712868010648,0.9999611466534678,592,668,0.1164179104477611,0.0029850746268656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984126984126984,0.5362051390897938,0.5582089552238806,0.5582089552238806,0.5582089552238806
0.25,10,"{'E': 8029, 'T': 6684, 'O': 5406, 'A': 5165, 'I': 5028, 'N': 4721, 'S': 4142, 'H': 3936, 'R': 3509, 'L': 2707, 'D': 2203, 'U': 2000, 'M': 1617, 'W': 1560, 'Y': 1558, 'C': 1538, 'G': 1442, 'F': 1428, 'B': 1076, 'P': 1066, 'V': 706, 'K': 495, 'X': 107, 'J': 77, 'Q': 57, '1': 16, 'Z': 12, '2': 9, '0': 9, '3': 6, '5': 4, '4': 4, '9': 3, '6': 3, '7': 3, '8': 2}","{'E': 32116, 'T': 26736, 'O': 21624, 'A': 20660, 'I': 20112, 'N': 18884, 'S': 16568, 'H': 15744, 'R': 14036, 'L': 10828, 'D': 8812, 'U': 8000, 'M': 6468, 'W': 6240, 'Y': 6232, 'C': 6152, 'G': 5768, 'F': 5712, 'B': 4304, 'P': 4264, 'V': 2824, 'K': 1980, 'X': 428, 'J': 308, 'Q': 228, '1': 64, 'Z': 48, '2': 36, '0': 36, '3': 24, '5': 16, '4': 16, '9': 12, '6': 12, '7': 12, '8': 8}",0.9999728703565433,0.0353549113256137,-8.305555555555555,31.63888888888889,0.0353549113256137,2106.75,45.89934640057525,0.0028999439847469,100,75014347.2962963,0.9999872511486796,0.9999719519673234,0.9999872511486796,0.9999929788924246,0.9999802301306152,0.9999719519673234,599,671,0.1059701492537313,-0.0014925373134328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936507936507936,0.5353076189640588,0.5529850746268656,0.5529850746268656,0.5529850746268656
0.275,10,"{'E': 8834, 'T': 7334, 'O': 5994, 'A': 5713, 'I': 5493, 'N': 5170, 'S': 4606, 'H': 4338, 'R': 3875, 'L': 2996, 'D': 2385, 'U': 2221, 'M': 1758, 'Y': 1714, 'W': 1686, 'C': 1682, 'G': 1588, 'F': 1577, 'B': 1196, 'P': 1185, 'V': 751, 'K': 562, 'X': 110, 'J': 80, 'Q': 68, '1': 20, 'Z': 14, '2': 10, '0': 9, '3': 6, '5': 6, '4': 6, '9': 3, '6': 3, '7': 3, '8': 2}","{'E': 32124, 'T': 26669, 'O': 21796, 'A': 20775, 'I': 19975, 'N': 18800, 'S': 16749, 'H': 15775, 'R': 14091, 'L': 10895, 'D': 8673, 'U': 8076, 'M': 6393, 'Y': 6233, 'W': 6131, 'C': 6116, 'G': 5775, 'F': 5735, 'B': 4349, 'P': 4309, 'V': 2731, 'K': 2044, 'X': 400, 'J': 291, 'Q': 247, '1': 73, 'Z': 51, '2': 36, '0': 33, '3': 22, '5': 22, '4': 22, '9': 11, '6': 11, '7': 11, '8': 7}",0.9999631496235696,0.0409391391697154,-4.444444444444445,33.833333333333336,0.0409391391697154,2787.6666666666665,52.79835856034415,0.005525646128976,160,75088410.41898148,0.999981613904278,0.9999628866425736,0.999981613904278,0.9999907188047455,0.9999723328796684,0.9999628866425736,604,670,0.0985074626865671,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9968253968253968,0.5287841617584259,0.5492537313432836,0.5492537313432836,0.5492537313432836
0.3,10,"{'E': 9638, 'T': 8023, 'O': 6581, 'A': 6243, 'I': 6082, 'N': 5669, 'S': 5030, 'H': 4770, 'R': 4244, 'L': 3220, 'D': 2623, 'U': 2433, 'M': 1940, 'W': 1860, 'Y': 1857, 'C': 1851, 'G': 1754, 'F': 1728, 'P': 1307, 'B': 1301, 'V': 820, 'K': 595, 'X': 122, 'J': 90, 'Q': 71, '1': 18, 'Z': 14, '2': 9, '0': 9, '3': 6, '4': 6, '5': 4, '9': 4, '6': 4, '7': 3, '8': 2}","{'E': 32127, 'T': 26743, 'O': 21937, 'A': 20810, 'I': 20273, 'N': 18897, 'S': 16767, 'H': 15900, 'R': 14147, 'L': 10733, 'D': 8743, 'U': 8110, 'M': 6467, 'W': 6200, 'Y': 6190, 'C': 6170, 'G': 5847, 'F': 5760, 'P': 4357, 'B': 4337, 'V': 2733, 'K': 1983, 'X': 407, 'J': 300, 'Q': 237, '1': 60, 'Z': 47, '2': 30, '0': 30, '3': 20, '4': 20, '5': 13, '9': 13, '6': 13, '7': 10, '8': 7}",0.9999637716249886,0.0407048334835249,22.97222222222222,33.416666666666664,0.0407048334835249,3248.9166666666665,56.99926900116059,0.0057307485704889,229,75371497.41203706,0.99998792721912,0.9999567458308626,0.99998792721912,0.9999892237723572,0.999977151121576,0.9999567458308626,607,666,0.0940298507462686,0.0059701492537313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761904,0.5266625086313719,0.5470149253731343,0.5470149253731343,0.5470149253731343
0.325,10,"{'E': 10419, 'T': 8710, 'O': 7079, 'A': 6753, 'I': 6558, 'N': 6052, 'S': 5371, 'H': 5151, 'R': 4588, 'L': 3488, 'D': 2837, 'U': 2619, 'M': 2107, 'W': 2023, 'Y': 2012, 'C': 1997, 'F': 1860, 'G': 1847, 'B': 1406, 'P': 1405, 'V': 893, 'K': 642, 'X': 126, 'J': 99, 'Q': 79, '1': 20, 'Z': 13, '0': 11, '2': 11, '3': 7, '5': 6, '4': 5, '6': 4, '8': 3, '9': 3, '7': 3}","{'E': 32058, 'T': 26800, 'O': 21782, 'A': 20778, 'I': 20178, 'N': 18622, 'S': 16526, 'H': 15849, 'R': 14117, 'L': 10732, 'D': 8729, 'U': 8058, 'M': 6483, 'W': 6225, 'Y': 6191, 'C': 6145, 'F': 5723, 'G': 5683, 'B': 4326, 'P': 4323, 'V': 2748, 'K': 1975, 'X': 388, 'J': 305, 'Q': 243, '1': 62, 'Z': 40, '0': 34, '2': 34, '3': 22, '5': 18, '4': 15, '6': 12, '8': 9, '9': 9, '7': 9}",0.9999658141141486,0.0278639467001036,-10.0,28.33333333333333,0.0278639467001036,2667.777777777778,51.65053511608353,0.0029810089246827,204,75091662.60416667,0.9999829356069876,0.9999644827728562,0.9999829356069876,0.999991118341268,0.9999740540998155,0.9999644827728562,608,669,0.0925373134328358,0.0014925373134328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936507936507936,0.5323366833663661,0.5462686567164179,0.5462686567164179,0.5462686567164179
0.35,10,"{'E': 11217, 'T': 9339, 'O': 7548, 'A': 7280, 'I': 7034, 'N': 6596, 'S': 5840, 'H': 5554, 'R': 4907, 'L': 3770, 'D': 3076, 'U': 2836, 'M': 2217, 'C': 2183, 'W': 2179, 'Y': 2174, 'G': 2021, 'F': 2019, 'B': 1526, 'P': 1510, 'V': 952, 'K': 695, 'X': 127, 'J': 104, 'Q': 82, '1': 22, 'Z': 16, '2': 12, '0': 11, '3': 9, '4': 7, '5': 6, '6': 4, '7': 4, '8': 3, '9': 3}","{'E': 32049, 'T': 26683, 'O': 21566, 'A': 20800, 'I': 20097, 'N': 18846, 'S': 16686, 'H': 15869, 'R': 14020, 'L': 10771, 'D': 8789, 'U': 8103, 'M': 6334, 'C': 6237, 'W': 6226, 'Y': 6211, 'G': 5774, 'F': 5769, 'B': 4360, 'P': 4314, 'V': 2720, 'K': 1986, 'X': 363, 'J': 297, 'Q': 234, '1': 63, 'Z': 46, '2': 34, '0': 31, '3': 26, '4': 20, '5': 17, '6': 11, '7': 11, '8': 9, '9': 9}",0.99998021754221,0.0224083718280099,-6.388888888888889,23.77777777777778,0.0224083718280099,1526.7222222222222,39.07329295340005,0.0021071539566578,142,75021501.91435185,0.9999908160770464,0.999979674116636,0.9999908160770464,0.9999949124103892,0.9999857285341596,0.999979674116636,614,669,0.0835820895522388,0.0014925373134328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984126984126984,0.5305868588621144,0.5417910447761194,0.5417910447761194,0.5417910447761194
0.375,10,"{'E': 11997, 'T': 10044, 'O': 8117, 'A': 7775, 'I': 7557, 'N': 7049, 'S': 6266, 'H': 5964, 'R': 5332, 'L': 4059, 'D': 3279, 'U': 2994, 'M': 2392, 'Y': 2348, 'W': 2342, 'C': 2337, 'F': 2159, 'G': 2152, 'B': 1626, 'P': 1603, 'V': 1022, 'K': 750, 'X': 150, 'J': 115, 'Q': 91, '1': 24, 'Z': 15, '0': 13, '2': 12, '3': 8, '5': 7, '4': 7, '8': 4, '6': 4, '7': 3, '9': 3}","{'E': 31992, 'T': 26784, 'O': 21645, 'A': 20733, 'I': 20152, 'N': 18797, 'S': 16709, 'H': 15904, 'R': 14219, 'L': 10824, 'D': 8744, 'U': 7984, 'M': 6379, 'Y': 6261, 'W': 6245, 'C': 6232, 'F': 5757, 'G': 5739, 'B': 4336, 'P': 4275, 'V': 2725, 'K': 2000, 'X': 400, 'J': 307, 'Q': 243, '1': 64, 'Z': 40, '0': 35, '2': 32, '3': 21, '5': 19, '4': 19, '8': 11, '6': 11, '7': 8, '9': 8}",0.999982181609615,0.0376882927556825,1.1944444444444444,25.694444444444443,0.0376882927556825,1339.8055555555557,36.60335443037367,0.0057202163123217,92,75091996.58796296,0.9999911223888256,0.9999821626154016,0.9999911223888256,0.9999955394727794,0.999986661901204,0.9999821626154016,616,671,0.0805970149253731,-0.0014925373134328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761904,0.5214543610848453,0.5402985074626866,0.5402985074626866,0.5402985074626866
0.4,10,"{'E': 12918, 'T': 10714, 'O': 8668, 'A': 8315, 'I': 8035, 'N': 7553, 'S': 6660, 'H': 6298, 'R': 5647, 'L': 4311, 'D': 3516, 'U': 3189, 'M': 2545, 'Y': 2505, 'C': 2490, 'W': 2484, 'F': 2331, 'G': 2303, 'B': 1737, 'P': 1723, 'V': 1095, 'K': 786, 'X': 162, 'J': 116, 'Q': 97, '1': 26, 'Z': 20, '2': 15, '0': 14, '3': 9, '5': 8, '4': 7, '9': 4, '8': 4, '6': 4, '7': 4}","{'E': 32295, 'T': 26785, 'O': 21670, 'A': 20788, 'I': 20088, 'N': 18882, 'S': 16650, 'H': 15745, 'R': 14118, 'L': 10778, 'D': 8790, 'U': 7972, 'M': 6362, 'Y': 6262, 'C': 6225, 'W': 6210, 'F': 5828, 'G': 5758, 'B': 4342, 'P': 4308, 'V': 2738, 'K': 1965, 'X': 405, 'J': 290, 'Q': 242, '1': 65, 'Z': 50, '2': 38, '0': 35, '3': 22, '5': 20, '4': 18, '9': 10, '8': 10, '6': 10, '7': 10}",0.9999693171545606,0.0290097596145779,4.805555555555555,27.13888888888889,0.0290097596145779,2327.75,48.24676154935168,0.0024191844651507,214,75257382.48148149,0.9999865782644402,0.9999690097030672,0.9999865782644402,0.9999922674297068,0.9999788457979314,0.9999690097030672,624,671,0.0686567164179104,-0.0014925373134328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9936507936507936,0.5198234784016663,0.5343283582089552,0.5343283582089552,0.5343283582089552
